epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,best_epoch
1,1.0450083781549853,0.3133301128105945,0.9271324474924989,0.7951453978632382,17
2,0.3882189721094271,0.2063171162483204,0.9407534409677573,0.8425513609960449,17
3,0.30010786735140704,0.16676051780042878,0.9469924274896414,0.8541219433814774,17
4,0.27125766190233397,0.15676645825740443,0.9559460875363147,0.8999223202073158,17
5,0.2518808155200944,0.16352531455558197,0.9410391960756298,0.8901809749599133,17
6,0.22595352557504206,0.14285916906882482,0.9732818974139162,0.9457891791803876,17
7,0.21772447119581909,0.13688590047959553,0.9724246320902986,0.9456121018063928,17
8,0.21080788647197657,0.13727227740090744,0.9725198837929228,0.9425216595990589,17
9,0.20165567642420304,0.13945704084226346,0.9222746106586656,0.9015395048739214,17
10,0.1745677229664488,0.11797491583905845,0.9732818974139162,0.9497241237155293,17
11,0.1650221303893577,0.12023010224115148,0.962756584273944,0.9389359683018194,17
12,0.15423111992909266,0.13334697432933845,0.936990998714102,0.9220771669102411,17
13,0.1281985020175839,0.10764070965576894,0.958184502547983,0.9440471295759932,17
14,0.11931802114701691,0.11725592816035342,0.9463732914225842,0.9297092015967956,17
15,0.10666682823591629,0.12415614290582297,0.9650902509882364,0.9383498753588491,17
16,0.10206237993665246,0.09218313299709964,0.9755679382768967,0.9609722006795182,17
17,0.09731968866675267,0.07013389447732711,0.984473972472258,0.9712945503073236,17
18,0.08772510676750309,0.0933028667027703,0.9716626184693051,0.9579308024138885,17
19,0.09144992788113485,0.08943059353904058,0.9803305234081059,0.9599974636760467,17
20,0.08515223940970465,0.08178351261247656,0.965899890460542,0.9550583211743654,17
21,0.08362702601202189,0.08064335675861725,0.9749011763585274,0.9630241233105519,17
22,0.08221035211415074,0.07076633069278526,0.9713768633614326,0.9615933056520676,17
23,0.08123147522828891,0.08235116590007982,0.9619945706529505,0.9482746643849578,17
24,0.06920830338667862,0.07091833419199467,0.9799018907462971,0.9691593358536564,17
25,0.06925033332700242,0.08515746337289751,0.9707577272943754,0.9594900012867789,17
26,0.06570620750374999,0.07538188459380236,0.9753774348716483,0.9656160061259974,17
27,0.0652098185582185,0.08396159850794409,0.9698528361194456,0.9590622972150135,17
28,0.06570572422005667,0.08177270676268486,0.9678525503643378,0.9587560366873871,17
29,0.06339332490446285,0.08160585139273051,0.9733295232652284,0.9625094742382994,17
30,0.05855050586370437,0.08516897879276969,0.9725675096442349,0.961524861903728,17
31,0.05969316084923162,0.07474195892874892,0.9699480878220699,0.9611364687324482,17
32,0.05811907041827287,0.07654202077537775,0.9583750059532314,0.953514084285827,17
33,0.05767030791339631,0.08185283451771339,0.9718531218745535,0.9618504696717438,17
34,0.058474447967611275,0.08002585147800982,0.9667095299328475,0.9597310901426656,17
35,0.056314931624106855,0.08116014426294381,0.967471543553841,0.9596695123516403,17
